DugumId,Isim,Ozellik_I (Aktiflik),Ozellik_II (Etkileşim),Ozellik_III (Bagl. Sayisi),Komsular
17,17,0.31,0.2,1.0,16
16,16,0.6,0.1,1.0,17
1,1,0.8,0.79,4.0,"3,2,4,5"
2,2,0.83,0.38,2.0,"1,5"
3,3,0.24,0.33,3.0,"1,4,5"
4,4,0.43,0.16,2.0,"1,3"
5,5,0.53,0.83,3.0,"1,2,3"
6,6,0.62,0.49,3.0,"7,9,10"
7,7,0.57,0.62,2.0,"6,8"
8,8,0.28,0.16,2.0,"7,10"
9,9,0.33,0.45,2.0,"6,10"
10,10,0.4,0.39,7.0,"6,8,9,12,13,14,15"
11,11,0.23,0.65,2.0,"13,15"
12,12,0.4,0.33,3.0,"10,13,14"
13,13,0.36,0.31,5.0,"10,11,12,14,15"
14,14,0.61,0.84,4.0,"10,12,13,15"
15,15,0.41,0.5,4.0,"10,11,13,14"
