DugumId,Isim,Ozellik_I (Aktiflik),Ozellik_II (Etkileşim),Ozellik_III (Bagl. Sayisi),Komsular
1,Ayşe Yıldız,0.22,0.4,3,"6,8,12"
2,Mustafa Öztürk,0.34,0.88,3,"7,8,14"
3,Zeliha Yıldız,0.35,0.16,1,9
4,İbrahim Kara,0.38,0.28,3,"10,11,13"
5,Halil Koç,0.25,0.78,4,"7,10,12,14"
6,Mehmet Aydın,0.64,0.26,2,"1,25"
7,Hasan Kurt,0.46,0.86,5,"2,5,9,12,14"
8,Zeliha Demir,0.39,0.27,3,"1,2,14"
9,Hanife Yılmaz,0.14,0.29,2,"3,7"
10,Zeynep Kılıç,0.71,0.15,3,"4,5,17"
11,Ali Kılıç,0.28,0.27,1,4
12,Mustafa Şahin,0.65,0.54,3,"1,5,7"
13,Zehra Koç,0.61,0.89,1,4
14,Emine Kaya,0.59,0.68,5,"2,5,7,8,16"
15,İbrahim Demir,0.67,0.42,4,"18,19,23,38"
16,Havva Özdemir,0.54,0.53,5,"17,18,21,27,14"
17,İsmail Demir,0.7,0.59,5,"16,25,26,28,10"
18,Zehra Çelik,0.59,0.78,6,"15,16,20,21,24,27"
19,Meryem Şahin,0.87,0.92,2,"15,31"
20,Ayşe Şahin,0.51,0.77,4,"18,21,22,24"
21,Hatice Demir,0.53,0.35,6,"16,18,20,23,27,28"
22,Murat Çetin,0.32,0.42,2,"20,25"
23,Murat Çelik,0.39,0.2,5,"15,21,24,25,27"
24,Zeliha Yılmaz,0.87,0.74,3,"18,20,23"
25,Havva Kaya,0.31,0.71,6,"17,22,23,27,28,6"
26,Meryem Kurt,0.32,0.59,2,"17,42"
27,Meryem Koç,0.7,0.25,5,"16,18,21,23,25"
28,Zeliha Çelik,0.78,0.73,3,"17,21,25"
29,Zeynep Çetin,0.2,0.88,5,"30,33,36,39,40"
30,Hatice Kurt,0.82,0.34,5,"29,31,33,37,40"
31,Ömer Özdemir,0.36,0.94,7,"30,37,39,40,42,19,44"
32,Hasan Şimşek,0.78,0.16,4,"33,34,38,39"
33,Ayşe Çelik,0.8,0.27,4,"29,30,32,39"
34,Havva Çelik,0.62,0.81,3,"32,37,42"
35,Hatice Yıldız,0.41,0.8,3,"37,38,48"
36,Zeynep Yılmaz,0.81,0.65,3,"29,42,51"
37,Zeynep Şahin,0.46,0.54,7,"30,31,34,35,38,39,40"
38,Halil Yılmaz,0.84,0.14,4,"32,35,37,15"
39,Hüseyin Aslan,0.46,0.31,5,"29,31,32,33,37"
40,Şerife Arslan,0.55,0.74,5,"29,30,31,37,41"
41,Mustafa Kurt,0.3,0.43,1,40
42,Murat Demir,0.7,0.12,4,"31,34,36,26"
43,Mehmet Yıldız,0.78,0.67,3,"48,50,55"
44,Sultan Aslan,0.15,0.47,3,"53,55,31"
45,Fatma Çetin,0.2,0.82,2,"49,52"
46,Merve Koç,0.39,0.43,1,48
47,Hanife Kaya,0.64,0.74,2,"49,54"
48,Ömer Kara,0.86,0.82,5,"43,46,51,54,35"
49,Ayşe Şimşek,0.19,0.68,3,"45,47,53"
50,Ayşe Aydın,0.85,0.12,4,"43,51,52,54"
51,Hanife Kara,0.29,0.13,4,"48,50,52,36"
52,Mustafa Özkan,0.59,0.9,4,"45,50,51,55"
53,Ramazan Kılıç,0.89,0.54,3,"44,49,60"
54,Sultan Arslan,0.83,0.56,4,"47,48,50,56"
55,Emine Aydın,0.22,0.71,3,"43,44,52"
56,Halil Şahin,0.52,0.91,2,"54,61"
57,İsmail Kurt,0.93,0.2,6,"58,59,60,61,66,70"
58,Mehmet Kurt,0.65,0.5,3,"57,60,61"
59,Zeliha Şahin,0.18,0.29,3,"57,61,65"
60,Zeliha Aslan,0.25,0.52,5,"57,58,65,53,74"
61,Süleyman Kara,0.63,0.48,5,"57,58,59,62,56"
62,Havva Aydın,0.8,0.92,2,"61,69"
63,İbrahim Şimşek,0.13,0.26,1,69
64,Meryem Doğan,0.48,0.25,3,"65,69,70"
65,Ahmet Doğan,0.76,0.14,5,"59,60,64,67,68"
66,Sultan Özkan,0.18,0.78,2,"57,70"
